"","Mean","SD"
"real_docker",6.08422549019608,0.265751574117251
"real_ubuntu",4.76306666666667,1.82812729817825
"user_docker",5.78294117647059,0.234468382192796
"user_ubuntu",4.55292666666667,1.79061293205385
"sys_docker",0.247843137254902,0.0586756051149431
"sys_ubuntu",0.16128,0.0321978197602794
