real,user,sys
8.501,26.372,36.844
8.471,29.716,44.392
7.966,29.580,46.632
7.999,28.240,40.388
9.748,28.372,45.816
7.747,28.880,41.024
8.192,29.012,52.468
8.468,27.596,38.828
8.749,28.132,43.428
8.167,28.252,41.688
