real,user,sys
6.702,5.860,0.410
6.151,5.760,0.320
6.111,5.710,0.350
6.021,5.730,0.240
6.039,5.750,0.250
6.092,5.670,0.350
6.047,5.730,0.260
6.463,6.170,0.240
6.737,6.450,0.230
6.768,6.340,0.360
7.442,7.150,0.230
7.179,6.770,0.360
6.650,6.270,0.330
6.408,6.030,0.320
6.559,6.210,0.300
6.501,6.180,0.260
6.585,6.240,0.290
6.645,6.250,0.340
6.575,6.300,0.220
6.674,6.340,0.290
