real,user,sys
11.254,11.130,0.100
11.239,11.060,0.160
10.797,10.700,0.070
10.814,10.680,0.100
10.841,10.630,0.190
10.872,10.670,0.170
10.839,10.680,0.140
10.818,10.710,0.080
10.841,10.600,0.220
10.855,10.620,0.180
